feature,bin,woe,events,non_events,event_rate,points
OCCUPATION_TYPE,"(0.0651, 0.0961]",-0.0777,1345,16553,0.0751,8
OCCUPATION_TYPE,"(0.0961, 0.0963]",0.1937,3092,29010,0.0963,6
OCCUPATION_TYPE,"(0.0963, 0.106]",0.2966,6459,54673,0.1057,6
OCCUPATION_TYPE,"(0.106, 0.172]",0.4027,3340,25425,0.1161,5
LIVINGAPARTMENTS_AVG,"(-0.001, 0.0563]",-0.031,2425,28482,0.0785,7
LIVINGAPARTMENTS_AVG,"(0.0563, 0.0756]",0.0521,19521,211009,0.0847,7
LIVINGAPARTMENTS_AVG,"(0.0756, 0.105]",-0.2194,1015,14394,0.0659,8
LIVINGAPARTMENTS_AVG,"(0.105, 1.0]",-0.3052,1864,28801,0.0608,9
YEARS_BUILD_AVG,"(-0.001, 0.701]",-0.0814,2343,28943,0.0749,6
YEARS_BUILD_AVG,"(0.701, 0.755]",0.059,19235,206485,0.0852,8
YEARS_BUILD_AVG,"(0.755, 0.81]",-0.1851,1450,19868,0.068,5
YEARS_BUILD_AVG,"(0.81, 1.0]",-0.2916,1797,27390,0.0616,3
EXT_SOURCE_2,"(-0.0009999183, 0.216]",0.9386,5639,25118,0.1833,18
EXT_SOURCE_2,"(0.216, 0.34]",0.4479,3715,27031,0.1208,13
EXT_SOURCE_2,"(0.34, 0.441]",0.2293,3059,27695,0.0995,10
EXT_SOURCE_2,"(0.441, 0.513]",0.0331,2559,28190,0.0832,8
EXT_SOURCE_2,"(0.513, 0.566]",-0.0863,2317,28763,0.0745,6
EXT_SOURCE_2,"(0.566, 0.608]",-0.2104,2021,28403,0.0664,5
EXT_SOURCE_2,"(0.608, 0.646]",-0.3429,1804,28945,0.0587,3
EXT_SOURCE_2,"(0.646, 0.682]",-0.5333,1507,29250,0.049,1
EXT_SOURCE_2,"(0.682, 0.722]",-0.6966,1289,29457,0.0419,-1
EXT_SOURCE_2,"(0.722, 0.855]",-1.052,915,29834,0.0298,-5
EXT_SOURCE_3,"(-0.000473, 0.257]",0.9745,5824,25028,0.1888,19
EXT_SOURCE_3,"(0.257, 0.371]",0.3692,3510,27631,0.1127,12
EXT_SOURCE_3,"(0.371, 0.458]",0.0637,2608,27865,0.0856,8
EXT_SOURCE_3,"(0.458, 0.535]",0.0378,7679,84197,0.0836,8
EXT_SOURCE_3,"(0.535, 0.537]",-0.3548,38,617,0.058,3
EXT_SOURCE_3,"(0.537, 0.604]",-0.4475,1611,28697,0.0532,2
EXT_SOURCE_3,"(0.604, 0.669]",-0.6216,1406,29809,0.045,0
EXT_SOURCE_3,"(0.669, 0.735]",-0.8018,1153,29272,0.0379,-3
EXT_SOURCE_3,"(0.735, 0.896]",-0.9583,996,29570,0.0326,-5
REG_CITY_NOT_WORK_CITY,"(-0.001, 1.0]",0.0,24825,282686,0.0807,7
EXT_SOURCE_1,"(0.013600000000000001, 0.319]",0.6125,4288,26464,0.1394,19
EXT_SOURCE_1,"(0.319, 0.478]",0.0089,2503,28249,0.0814,7
EXT_SOURCE_1,"(0.478, 0.506]",0.0507,15133,163809,0.0846,8
EXT_SOURCE_1,"(0.506, 0.534]",-0.2687,350,5214,0.0629,2
EXT_SOURCE_1,"(0.534, 0.69]",-0.4826,1581,29169,0.0514,-2
EXT_SOURCE_1,"(0.69, 0.963]",-0.9918,970,29781,0.0315,-11
ORGANIZATION_TYPE,"(0.030199999999999998, 0.054]",-0.4465,3587,63835,0.0532,11
ORGANIZATION_TYPE,"(0.054, 0.0668]",-0.2595,1787,26377,0.0634,9
ORGANIZATION_TYPE,"(0.0668, 0.0764]",-0.11,2784,35389,0.0729,8
ORGANIZATION_TYPE,"(0.0764, 0.0853]",0.0254,2140,23757,0.0826,7
ORGANIZATION_TYPE,"(0.0853, 0.093]",0.1518,7118,69641,0.0927,6
ORGANIZATION_TYPE,"(0.093, 0.0998]",0.1905,1064,10014,0.096,6
ORGANIZATION_TYPE,"(0.0998, 0.102]",0.2544,3997,35292,0.1017,5
ORGANIZATION_TYPE,"(0.102, 0.158]",0.3747,2348,18381,0.1133,4
WALLSMATERIAL_MODE,"(0.0462, 0.0635]",-0.2662,4276,63543,0.0631,8
WALLSMATERIAL_MODE,"(0.0635, 0.0741]",-0.1005,5450,68618,0.0736,8
WALLSMATERIAL_MODE,"(0.0741, 0.0913]",0.1306,14579,145683,0.091,7
WALLSMATERIAL_MODE,"(0.0913, 0.097]",0.2012,520,4842,0.097,7
EMERGENCYSTATE_MODE,"(0.0686, 0.0926]",-0.0015,24602,280581,0.0806,7
EMERGENCYSTATE_MODE,"(0.0926, 0.0958]",0.1876,223,2105,0.0958,7
DAYS_LAST_PHONE_CHANGE,"(-4292.001, -2158.0]",-0.4323,1661,29144,0.0539,8
DAYS_LAST_PHONE_CHANGE,"(-2158.0, -1720.0]",-0.3034,1872,28874,0.0609,8
DAYS_LAST_PHONE_CHANGE,"(-1720.0, -1426.0]",-0.2264,2012,28731,0.0654,8
DAYS_LAST_PHONE_CHANGE,"(-1426.0, -1060.0]",-0.1294,2201,28525,0.0716,8
DAYS_LAST_PHONE_CHANGE,"(-1060.0, -757.0]",0.0233,2540,28258,0.0825,7
DAYS_LAST_PHONE_CHANGE,"(-757.0, -546.0]",0.1614,2887,27975,0.0935,7
DAYS_LAST_PHONE_CHANGE,"(-546.0, -364.0]",0.1426,2813,27776,0.092,7
DAYS_LAST_PHONE_CHANGE,"(-364.0, -161.0]",0.2241,3051,27767,0.099,7
DAYS_LAST_PHONE_CHANGE,"(-161.0, 0.0]",0.1694,5788,55636,0.0942,7
FLAG_DOCUMENT_3,"(-0.001, 1.0]",0.0,24825,282686,0.0807,7
HOUSETYPE_MODE,"(0.0684, 0.0915]",-0.0014,24673,281339,0.0806,7
HOUSETYPE_MODE,"(0.0915, 0.101]",0.2507,152,1347,0.1014,7
bur_total_credit,"(-0.001, 84883.5]",0.2377,6164,55339,0.1002,7
bur_total_credit,"(84883.5, 233054.094]",0.0197,2528,28224,0.0822,7
bur_total_credit,"(233054.094, 442365.562]",-0.0558,2358,28392,0.0767,7
bur_total_credit,"(442365.562, 711000.0]",-0.0601,2349,28404,0.0764,7
bur_total_credit,"(711000.0, 1080000.0]",-0.0874,2294,28508,0.0745,7
bur_total_credit,"(1080000.0, 1609278.75]",-0.0856,2290,28408,0.0746,7
bur_total_credit,"(1609278.75, 2452319.0]",-0.0363,2401,28350,0.0781,7
bur_total_credit,"(2452319.0, 4226032.5]",-0.0581,2353,28398,0.0765,7
bur_total_credit,"(4226032.5, 1017957888.0]",-0.1869,2088,28663,0.0679,7
bur_total_debt,"(-6981558.001, 0.0]",-0.1132,8898,113467,0.0727,7
bur_total_debt,"(0.0, 580.5]",-0.2756,40,600,0.0625,8
bur_total_debt,"(580.5, 87583.5]",-0.0215,2434,28318,0.0791,7
bur_total_debt,"(87583.5, 208768.5]",-0.0002,2482,28269,0.0807,7
bur_total_debt,"(208768.5, 398853.0]",0.0667,2639,28111,0.0858,7
bur_total_debt,"(398853.0, 717779.5]",0.1126,2752,27999,0.0895,7
bur_total_debt,"(717779.5, 1417764.125]",0.16,2873,27878,0.0934,7
bur_total_debt,"(1417764.125, 334498336.0]",0.0946,2707,28044,0.088,7
bur_avg_credit,"(-0.001, 46806.75]",0.2428,6192,55311,0.1007,8
bur_avg_credit,"(46806.75, 83972.25]",-0.0508,2369,28382,0.077,7
bur_avg_credit,"(83972.25, 118480.141]",-0.0942,2276,28476,0.074,7
bur_avg_credit,"(118480.141, 158730.75]",-0.043,2386,28364,0.0776,7
bur_avg_credit,"(158730.75, 213131.906]",-0.0188,2440,28311,0.0793,7
bur_avg_credit,"(213131.906, 288830.438]",-0.0126,2454,28297,0.0798,7
bur_avg_credit,"(288830.438, 417968.656]",0.0189,2526,28225,0.0821,7
bur_avg_credit,"(417968.656, 699225.188]",-0.0554,2359,28392,0.0767,7
bur_avg_credit,"(699225.188, 198072352.0]",-0.3318,1823,28928,0.0593,7
AMT_REQ_CREDIT_BUREAU_YEAR,"(-0.001, 1.0]",-0.0155,14065,162660,0.0796,7
AMT_REQ_CREDIT_BUREAU_YEAR,"(1.0, 2.0]",0.0043,4068,46124,0.081,7
AMT_REQ_CREDIT_BUREAU_YEAR,"(2.0, 3.0]",-0.0156,2676,30952,0.0796,7
AMT_REQ_CREDIT_BUREAU_YEAR,"(3.0, 4.0]",0.0243,1710,19004,0.0826,7
AMT_REQ_CREDIT_BUREAU_YEAR,"(4.0, 25.0]",0.0922,2306,23946,0.0878,8
bur_avg_debt,"(-1083614.626, 0.0]",-0.1132,8898,113467,0.0727,7
bur_avg_debt,"(0.0, 180.0]",-0.3602,37,604,0.0577,7
bur_avg_debt,"(180.0, 22288.801]",-0.1853,2091,28659,0.068,7
bur_avg_debt,"(22288.801, 49133.25]",-0.0108,2458,28293,0.0799,7
bur_avg_debt,"(49133.25, 86484.375]",0.1042,2731,28020,0.0888,7
bur_avg_debt,"(86484.375, 149040.0]",0.2045,2991,27761,0.0973,7
bur_avg_debt,"(149040.0, 296136.906]",0.2247,3046,27704,0.0991,7
bur_avg_debt,"(296136.906, 43650000.0]",0.039,2573,28178,0.0837,7
bur_loan_count,"(-0.001, 1.0]",0.1706,7555,72537,0.0943,7
bur_loan_count,"(1.0, 2.0]",-0.0356,2784,32851,0.0781,7
bur_loan_count,"(2.0, 3.0]",-0.0643,2505,30420,0.0761,7
bur_loan_count,"(3.0, 4.0]",-0.1348,2065,26908,0.0713,7
bur_loan_count,"(4.0, 5.0]",-0.0879,1860,23125,0.0744,7
bur_loan_count,"(5.0, 6.0]",-0.1228,1510,19442,0.0721,7
bur_loan_count,"(6.0, 8.0]",-0.1011,2326,29303,0.0735,7
bur_loan_count,"(8.0, 11.0]",-0.0199,2159,25079,0.0793,7
bur_loan_count,"(11.0, 116.0]",0.0193,2061,23021,0.0822,7
cc_avg_payment,"(-0.001, 7746.502]",-0.0381,21573,255187,0.0779,7
cc_avg_payment,"(7746.502, 1125000.0]",0.2976,3252,27499,0.1058,7
cc_avg_limit,"(-0.001, 90000.0]",-0.0225,19529,227449,0.0791,7
cc_avg_limit,"(90000.0, 198243.25]",0.1101,2659,27123,0.0893,8
cc_avg_limit,"(198243.25, 1350000.0]",0.0659,2637,28114,0.0858,7
cc_avg_drawings,"(-0.001, 10576.459]",-0.0701,20944,255816,0.0757,7
cc_avg_drawings,"(10576.459, 1125000.0]",0.4976,3881,26870,0.1262,7
cc_avg_atm_drawings,"(-0.001, 4500.0]",-0.0679,20999,255917,0.0758,7
cc_avg_atm_drawings,"(4500.0, 904500.0]",0.4871,3826,26769,0.1251,7
cc_total_months,"(-0.001, 11.0]",0.007,20208,228504,0.0813,7
cc_total_months,"(11.0, 36.0]",0.146,2636,25939,0.0922,7
cc_total_months,"(36.0, 192.0]",-0.2248,1981,28243,0.0655,7
inst_max_payment_delay,"(-156.001, -8.0]",-0.1811,2334,31854,0.0683,7
inst_max_payment_delay,"(-8.0, -3.0]",-0.1867,2305,31634,0.0679,7
inst_max_payment_delay,"(-3.0, -1.0]",-0.2542,1540,22612,0.0638,7
inst_max_payment_delay,"(-1.0, 0.0]",-0.192,4121,56859,0.0676,7
inst_max_payment_delay,"(0.0, 1.0]",0.0137,1272,14287,0.0818,7
inst_max_payment_delay,"(1.0, 3.0]",0.0578,2034,21861,0.0851,7
inst_max_payment_delay,"(3.0, 6.0]",0.1449,2551,25129,0.0922,7
inst_max_payment_delay,"(6.0, 11.0]",0.2328,2569,23178,0.0998,7
inst_max_payment_delay,"(11.0, 24.0]",0.2043,3002,27868,0.0972,7
inst_max_payment_delay,"(24.0, 2882.0]",0.2522,3097,27404,0.1015,7
inst_avg_payment_diff,"(-146145.90699999998, -1542.435]",0.3788,3496,27256,0.1137,7
inst_avg_payment_diff,"(-1542.435, -630.736]",0.2768,3192,27559,0.1038,7
inst_avg_payment_diff,"(-630.736, -197.463]",0.1565,2864,27887,0.0931,7
inst_avg_payment_diff,"(-197.463, 0.0]",-0.1154,13202,168720,0.0726,7
inst_avg_payment_diff,"(0.0, 362.236]",-0.1358,184,2400,0.0712,7
inst_avg_payment_diff,"(362.236, 337496.812]",-0.2951,1887,28864,0.0614,7
inst_loan_count,"(-0.001, 1.0]",0.1158,8776,89009,0.0897,8
inst_loan_count,"(1.0, 2.0]",0.0542,6030,65040,0.0848,7
inst_loan_count,"(2.0, 3.0]",-0.0387,4049,47928,0.0779,7
inst_loan_count,"(3.0, 4.0]",-0.1479,2393,31594,0.0704,7
inst_loan_count,"(4.0, 6.0]",-0.1858,2355,32291,0.068,7
inst_loan_count,"(6.0, 26.0]",-0.1898,1222,16824,0.0677,7
inst_avg_payment_delay,"(-295.001, -21.6]",-0.1066,2253,28540,0.0732,7
inst_avg_payment_delay,"(-21.6, -16.077]",-0.2287,2006,28711,0.0653,7
inst_avg_payment_delay,"(-16.077, -13.056]",-0.1443,2173,28585,0.0706,7
inst_avg_payment_delay,"(-13.056, -10.875]",-0.0635,2342,28416,0.0761,7
inst_avg_payment_delay,"(-10.875, -9.094]",-0.0419,2387,28344,0.0777,7
inst_avg_payment_delay,"(-9.094, -7.523]",0.0588,2620,28130,0.0852,7
inst_avg_payment_delay,"(-7.523, -6.0]",0.0486,2649,28735,0.0844,7
inst_avg_payment_delay,"(-6.0, -4.354]",0.1334,2747,27373,0.0912,7
inst_avg_payment_delay,"(-4.354, -1.618]",0.2141,3017,27734,0.0981,7
inst_avg_payment_delay,"(-1.618, 1884.205]",0.0634,2631,28118,0.0856,7
cc_max_balance,"(-0.001, 157513.094]",-0.0432,21472,255288,0.0776,7
cc_max_balance,"(157513.094, 1354829.25]",0.3319,3353,27398,0.109,7
cc_total_drawing_count,"(-0.001, 19.0]",-0.0553,21290,256204,0.0767,7
cc_total_drawing_count,"(19.0, 2298.0]",0.4187,3535,26482,0.1178,7
pos_avg_dpd,"(-0.001, 0.318]",-0.043,21478,255328,0.0776,7
pos_avg_dpd,"(0.318, 2622.078]",0.3315,3347,27358,0.109,7
pos_max_dpd,"(-0.001, 7.0]",-0.0318,21755,255740,0.0784,7
pos_max_dpd,"(7.0, 4231.0]",0.2603,3070,26946,0.1023,7
pos_avg_instalment_future,"(-0.001, 2.625]",-0.1081,2272,28825,0.0731,8
pos_avg_instalment_future,"(2.625, 4.0]",0.0246,2594,28821,0.0826,7
pos_avg_instalment_future,"(4.0, 5.0]",-0.1131,2312,29479,0.0727,8
pos_avg_instalment_future,"(5.0, 5.823]",-0.13,2055,26648,0.0716,8
pos_avg_instalment_future,"(5.823, 6.542]",0.0299,2552,28205,0.083,7
pos_avg_instalment_future,"(6.542, 8.0]",-0.0125,2499,28815,0.0798,7
pos_avg_instalment_future,"(8.0, 9.938]",-0.0444,2339,27843,0.0775,8
pos_avg_instalment_future,"(9.938, 12.628]",-0.0837,2298,28452,0.0747,8
pos_avg_instalment_future,"(12.628, 17.6]",0.0728,2655,28109,0.0863,7
pos_avg_instalment_future,"(17.6, 60.0]",0.297,3249,27489,0.1057,6
pos_total_months,"(-0.001, 6.0]",-0.0639,2758,33477,0.0761,7
pos_total_months,"(6.0, 9.0]",0.2685,2826,24603,0.103,8
pos_total_months,"(9.0, 12.0]",0.2097,3012,27810,0.0977,8
pos_total_months,"(12.0, 16.0]",0.1779,3073,29291,0.095,8
pos_total_months,"(16.0, 21.0]",0.024,2640,29349,0.0825,7
pos_total_months,"(21.0, 26.0]",-0.0341,2249,26499,0.0782,7
pos_total_months,"(26.0, 33.0]",-0.0952,2105,26364,0.0739,7
pos_total_months,"(33.0, 43.0]",-0.1507,2147,28426,0.0702,7
pos_total_months,"(43.0, 60.0]",-0.2205,1996,28335,0.0658,6
pos_total_months,"(60.0, 295.0]",-0.2159,2019,28532,0.0661,6
prev_avg_down_payment,"(-0.226, 0.0]",0.1147,9940,100920,0.0897,7
prev_avg_down_payment,"(0.0, 1068.3]",0.1337,1108,11038,0.0912,7
prev_avg_down_payment,"(1068.3, 2506.5]",0.1789,2924,27843,0.095,7
prev_avg_down_payment,"(2506.5, 4132.5]",0.0438,2583,28153,0.084,7
prev_avg_down_payment,"(4132.5, 6018.75]",-0.0359,2402,28353,0.0781,7
prev_avg_down_payment,"(6018.75, 9000.0]",-0.1356,2253,29381,0.0712,7
prev_avg_down_payment,"(9000.0, 15187.5]",-0.2454,1920,27943,0.0643,7
prev_avg_down_payment,"(15187.5, 2025000.0]",-0.409,1695,29055,0.0551,7
prev_avg_application,"(-0.001, 27180.0]",0.0296,2551,28202,0.083,8
prev_avg_application,"(27180.0, 46663.031]",0.1806,2927,27823,0.0952,9
prev_avg_application,"(46663.031, 63450.0]",0.0265,2544,28211,0.0827,8
prev_avg_application,"(63450.0, 80442.75]",0.0216,2532,28215,0.0823,7
prev_avg_application,"(80442.75, 99848.57]",0.0002,2483,28268,0.0807,7
prev_avg_application,"(99848.57, 124593.75]",-0.0121,2455,28296,0.0798,7
prev_avg_application,"(124593.75, 159165.0]",-0.0224,2432,28320,0.0791,7
prev_avg_application,"(159165.0, 215593.5]",-0.0281,2419,28331,0.0787,7
prev_avg_application,"(215593.5, 319500.0]",-0.0767,2313,28439,0.0752,7
prev_avg_application,"(319500.0, 4050000.0]",-0.146,2169,28581,0.0705,6
prev_max_credit,"(-0.001, 38015.012]",0.0024,2488,28264,0.0809,7
prev_max_credit,"(38015.012, 72900.0]",0.1129,2753,28001,0.0895,7
prev_max_credit,"(72900.0, 108450.0]",-0.0236,2429,28321,0.079,7
prev_max_credit,"(108450.0, 146502.0]",-0.0838,2298,28456,0.0747,8
prev_max_credit,"(146502.0, 203760.0]",-0.0736,2352,28829,0.0754,8
prev_max_credit,"(203760.0, 284611.5]",0.0011,2453,27903,0.0808,7
prev_max_credit,"(284611.5, 450000.0]",0.0507,2871,31076,0.0846,7
prev_max_credit,"(450000.0, 675000.0]",0.0771,2481,26155,0.0866,7
prev_max_credit,"(675000.0, 1046142.0]",0.0339,2474,27233,0.0833,7
prev_max_credit,"(1046142.0, 4509688.5]",-0.1154,2226,28448,0.0726,8
prev_avg_credit,"(-0.001, 29112.75]",0.0262,2543,28209,0.0827,7
prev_avg_credit,"(29112.75, 50076.0]",0.1336,2805,27946,0.0912,7
prev_avg_credit,"(50076.0, 68517.0]",-0.0047,2472,28283,0.0804,7
prev_avg_credit,"(68517.0, 87810.375]",0.0203,2529,28218,0.0823,7
prev_avg_credit,"(87810.375, 110439.0]",-0.0237,2429,28323,0.079,7
prev_avg_credit,"(110439.0, 139114.906]",-0.005,2471,28279,0.0804,7
prev_avg_credit,"(139114.906, 179793.906]",-0.0117,2456,28295,0.0799,7
prev_avg_credit,"(179793.906, 242329.047]",0.0002,2483,28268,0.0807,7
prev_avg_credit,"(242329.047, 355860.938]",-0.0545,2361,28390,0.0768,8
prev_avg_credit,"(355860.938, 4050000.0]",-0.0941,2276,28475,0.074,8
pos_loan_count,"(-0.001, 1.0]",0.1621,10075,97557,0.0936,8
pos_loan_count,"(1.0, 2.0]",0.0249,6074,67465,0.0826,7
pos_loan_count,"(2.0, 3.0]",-0.098,3669,46079,0.0738,7
pos_loan_count,"(3.0, 4.0]",-0.211,2071,29123,0.0664,7
pos_loan_count,"(4.0, 5.0]",-0.2349,1229,17701,0.0649,7
pos_loan_count,"(5.0, 26.0]",-0.242,1707,24761,0.0645,7
prev_avg_days_decision,"(-2922.001, -1712.0]",-0.1896,2083,28671,0.0677,7
prev_avg_days_decision,"(-1712.0, -1347.0]",-0.2725,1929,28847,0.0627,6
prev_avg_days_decision,"(-1347.0, -1100.4]",-0.2397,1986,28741,0.0646,7
prev_avg_days_decision,"(-1100.4, -908.4]",-0.1204,2221,28528,0.0722,7
prev_avg_days_decision,"(-908.4, -748.889]",-0.0471,2377,28374,0.0773,7
prev_avg_days_decision,"(-748.889, -606.4]",0.0382,2571,28180,0.0836,7
prev_avg_days_decision,"(-606.4, -478.8]",0.1245,2782,27970,0.0905,8
prev_avg_days_decision,"(-478.8, -358.0]",0.1956,2977,27877,0.0965,8
prev_avg_days_decision,"(-358.0, -230.75]",0.345,3381,27266,0.1103,8
